1292,IEEE SCC1,Message from General Chairs.,"Welcome to the 18th IEEE Virtual Reality conference As with past conferences, we hope to excite and inspire you with the many events scheduled as part of IEEE VR 2011 Also, we want to emphasize that IEEE VR comes to Asia for only the second time in its long history It was in Yokohama, Japan in 2001, and this time it will be held in Singapore, one of the most advanced and still rapidly advancing countries in Asia."
1293,IEEE SCC2,SOAC: A Conceptual Model for Managing Service-Oriented Authorization.,"A web service can be composed of multiple component web services in a loosely-coupled environment Traditional Role Based Access Control (RBAC) is inadequate for the authorization management of composite services since the administration of the component web services has not been taken into consideration In this paper, we propose a novel conceptual model, named as Service Oriented Authorization Control (SOAC) to facilitate the administration and management for both service consumers and component web services A set of administrative functions are also provided for managing the elements of SOAC This research will be the first step towards managing service-oriented authorization."
1294,SCC3,Description and Evaluation of Elasticity Strategies for Business Processes in the Cloud.,"In the recent years, growing attention has been paid to the concept of Cloud Computing as a new computing paradigm for executing and handling operations/processes in an efficient and cost-effective way Cloud Computing’s elasticity and its flexibility in service delivery have been the most important features behind this attention which encourage companies to migrate their operation/processes to the cloud to ensure the required QoS while using resources and reduce their expenses Elasticity management has been considered as a pivotal issue among IT community that works on finding the right tradeoffs between QoS levels and operational costs by developing novel methods and mechanisms However, controlling process elasticity and defining non-trivial elasticity strategies are challenging issues Also, despite the growing attention paid to the cloud and its elasticity property in particular, there is still a lack of solutions that support the evaluation of elasticity strategies used to ensure t."
1295,IEEE SCC4,Managing Enterprise IT Systems Using Online Communities.,"This paper presents a method for testing an e-learning, web based system System specifications are provided using the UML modelling language and specifically the Sequence, Activity and Class diagrams of UML These specifications are exported in XMI format which is parsed in order to produce the test cases The system under consideration in this paper is dotLRN, an open source enterprise-class suite of web applications and portal framework for supporting course management, online communities and collaboration."
1296,IEEE SCC5,ReputationNet: A Reputation Engine to Enhance ServiceMap by Recommending Trusted Services.,"The concept of Service Oriented Architecture (SOA) enables flexible and dynamic collaborations among different service providers Backed up by SOA, scientific workflows can bring together various scientific computing tools and resources all offered as services to answer complex research questions However, studies conducted on my Experiment show that although the sharing of service-based capabilities opens a gateway to resource reuse, in practice, the degree of reuse is very low This motivates us to propose ServiceMap to provide navigation support through the network of services in building scientific workflows In this paper, we propose an extension of ServiceMap, ie, ReputationNet that incorporates the reputation of services/workflows and their publishers to reinforce its capability in terms of service and workflow recommendations We develop a novel model of the reputation aspects of the services/workflows, and we propose heuristic algorithms to provide service recommendations based on."
1297,SCC6,A Personal Healthcare System with Inference-as-a-Service.,"A health and emergency care system for the elderly and disabled peopleSystem and software architectures of health and emergency care systemThe people centric sensing model for the healthcare systemData analysis methodology using fuzzy logic Emergence of context-aware technologies and IoT devices reflect that the quality of a human life has become one of the most essential aspects in Smart Cities With this goal health monitoring of elderly and disabled people have got plenty of attention and focus in the research The healthcare systems rely on the components responsible for context sensing, processing, storage and inference, and response In order to make the interoperability among the various healthcare systems, a typical standard is needed in order to uniformly access the context-aware healthcare information coming through a fundamental infrastructure In this paper, we propose people-centric sensing framework for the healthcare of elderly and disabled people Such platform is aimed to ."
1298,IEEE SCC7,Global Service Space Construction and Its Application to Workflow as a Service.,"Results The Cronbach's alpha for the four dimensions used in developing CI was 843 Validation of CI revealed that it was correlated to internal dimensions ( system quality , R = 828; information quality , R = 909; use , R = 969; and user satisfaction , R = 679) and to external factors (JAHIS level, R = 832 and patient safety culture, R = 585) These results suggest that CI could be a reliable and valid measure of the effectiveness of EMR systems in the responding hospitals On benchmarking of hospitals, 300% (6/20) of the responding hospitals performed less than satisfactory on CI and that majority of the hospitals performed poorly on user satisfaction  Conclusions CI has provided a standard way, through quantitative means, of measuring, comparing and categorizing the effectiveness of EMR systems in hospitals CI can be a powerful tool for benchmarking the effectiveness of EMR systems in hospitals in ways that can guide hospitals in computerization process as well as benchmark their syst."
1299,IEEE SCC8,Service Level Composition across Multiple Service Chains.,"Tracing items in a supply chain, across different enterprises and through the full processes scope, is today an inherently complex design task Enterprises are typically comprised of hundreds of applications that are custom built at different times, acquired from third parties and parts of legacy systems, and also operating in multiple tiers of different manufacturing and information system platforms Further, traceability is characterized by a goal-oriented approach, in which business-process analyses are driven by goal achievements rather than by systematic engineering processes The use of a classical enterprise integration approach mostly needs tailoring to different applications Due to the number and diversity of the systems and of their interactions, and to their dynamicity, it is difficult, costly, and therefore often not convenient to develop in large scale distributed systems To overcome these issues, a supply chain traceability system with a high level of automation is discusse."
1300,IEEE SCC9,Service Security Revisited.,"In this paper we revisit the concept of mandatory access control and investigate its potential with personal digital assistants (PDA) Only if applications are clearly separated and Trojans cannot leak personal information can these PDAs become personal trusted devices Limited processing power and memory can be overcome by using Web services instead of full-fledged applications - a trend also in non-mobile computing Web services, however, introduce additional security risks, some of them specific for mobile users We propose an identification scheme that can be effectively used to protect privacy and show how this system builds upon a light-weight version of mandatory access control."
1301,IEEE SCC0,Data-Centered Service Composition for Information Analysis.,"Summary: Currently, new bacterial genomes are being published on a monthly basis With the growing amount of genome sequence data, there is a demand for a flexible and easy-to-maintain structure for storing sequence data and results from bioinformatic analysis More than 150 sequenced bacterial genomes are now available, and comparisons of properties for taxonomically similar organisms are not readily available to many biologists In addition to the most basic information, such as AT content, chromosome length, tRNA count and rRNA count, a large number of more complex calculations are needed to perform detailed comparative genomics DNA structural calculations like curvature and stacking energy, DNA compositions like base skews, oligo skews and repeats at the local and global level are just a few of the analysis that are presented on the CBS Genome Atlas Web page Complex analysis, changing methods and frequent addition of new models are factors that require a dynamic database layout Using."
