1,ICWS0,Complex Event Processing.,"A large number distributed applications requires continuous timely processing information flows periphery center system Examples include intrusion detection systems analyze network traffic real-time identify possible attacks; environmental monitoring applications process raw data coming sensor networks identify critical situations; applications performing online analysis stock prices identify trends forecast future values Traditional DBMSs, need store index data processing it, hardly fulfill requirements timeliness coming domains Accordingly, last decade, different research communities developed number tools, collectively call Information flow processing (IFP) systems, support scenarios differ system architecture, data model, rule model, rule language article, survey systems help researchers, ."
2,ICWS1,Exploiting Heterogeneous Information Tag Recommendation API Management.,"As web-enabled software becomes standard business processes, ways organizations, partners customers interface become critical differentiator market place, ie, API Economy rapid proliferation APIs, increasingly important users effectively manage objective APIs kinds API markets, eg, ProgramableWeb (PW), Mashape, etc paper, facilitate process API management, propose graph-based recommendation approach called ATRec automatically assign tags unlabeled APIs exploiting graph structure information semantic similarity Specifically, ATRec first leverages multi-type relations (ie, among APIs, mashups, mashup assigned tags) construct heterogeneous network, Random Walk Restart (RWR) model applied alleviate total cold start problem API ever tagged Furthermore, apply recommended API tags two API management scenarios (API sea."
3,ICWS2,Towards Intelligent Services: Case Study Chemical Emergency Response.,"Emerging small, wartime government program regional focus malaria 1946, Centers Disease Control Prevention (CDC) become global public health agency addresses entire scope public health, 10 000 employees contractors nearly 200 occupations CDC's expertise expanded direct correlation expanding view public health needs: recognized globally ability respond urgent threat related disease epidemics health consequences disaster war CDC programs contributed significantly eradication reduction diseases smallpox, polio, guinea worm, well control health problems human immunodeficiency virus (HIV), childhood lead poisoning, breast cervical cancer, diabetes, violence, unintentional injuries CDC contributions applied epidemiology, public health surveillance, risk factor reduction, environmental risk assessmen."
4,ICWS3,Improved Adaptation Web Service Compositions Using Value Changed Information.,"Results Cronbach's alpha four dimensions used developing CI 843 Validation CI revealed correlated internal dimensions ( system quality , R = 828; information quality , R = 909; use , R = 969; user satisfaction , R = 679) external factors (JAHIS level, R = 832 patient safety culture, R = 585) results suggest CI could reliable valid measure effectiveness EMR systems responding hospitals benchmarking hospitals, 300% (6/20) responding hospitals performed less satisfactory CI majority hospitals performed poorly user satisfaction  Conclusions CI provided standard way, quantitative means, measuring, comparing categorizing effectiveness EMR systems hospitals CI powerful tool benchmarking effectiveness EMR systems hospitals ways guide hospitals computerization process well benchmark syst."
5,ICWS4,Decentralized Orchestration CompositeWeb Services.,"Traditional, centralized orchestration composite web services often leads inefficient routing messages solve problem, present novel scheme execute composite web services fully decentralized way introduce service invocation triggers, lightweight infrastructure routes messages directly producing service consuming one, enabling fully decentralized orchestration evaluation confirms decentralized orchestration significantly reduce network traffic compared centralized orchestration."
6,ICWS5,Control Flow Analysis Coverage Driven Testing Web Services.,"In paper, describe approach discover control flow graph web services web services analysis, verification, testing purpose, three novel methods proposed First, introduce domain independent RDF Schemas concise resource oriented functional specification web services operations Secondly, describe use RDF entailment accurately derive control flow functional specifications developed transformation RDF graph SPARQL query facilitate RDF entailment offers flexibility extensibility direct graph matching approach third linkage based web services modeling analysis framework, within apply improved Google PageRank algorithm efficiently calculate test coverage potential using derived control flow justify proposed linkage based web services modeling analysis framework particularly suitable testing web services prototype ."
7,ICWS6,Optimal Adaptation Web Processes Coordination Constraints.,"Methods EEGs recorded high spatial resolution 1×1 cm 8×8 electrode array right inferior temporal gyrus patient undergoing preoperative monitoring epilepsy surgery Cosines fitted EEG segments measure frequency phase compute location, size, latency, phase velocity, duration, recurrence rate radially symmetric spatial patterns called phase cones Hilbert transform also used get high temporal resolution Results awake state, power spectral density (PSD) showed power-law decrease log power log frequency 1/ f α , α ∼2, peaks standard empirical ranges phase beta gamma ranges spatial gradients conic form Resetting stable spatial patterns phase cones spatially coincident intermittent discontinuities (‘phase slip’) recurring theta rates Cones half power diameters 2 50+ mm; durations power-law distributions values ranging ."
8,ICWS7,Enforcement Inside: Improving Quality Business Process Management.,"This paper draws two independent strands literature — Baudrillard's orders-of-simulacra theoretic financial accounting theory — investigate ontological status information accounting reports draws Baudrillard's concepts simulacra, hyperreality implosion trace historical transformations accounting signs income capital Sumerian times present posits accounting today longer refers objective reality instead circulates “hyperreality” self-referential models paper examines conclusion viewpoint recent clean surplus model research argues distinction income capital arbitrary irrelevant provided measurement process satisfies clean surplus relation Although accounting arbitrary hyperreal, impart sense exogeniety predictability, particularly income calculation Therefore, relied decisi."
9,ICWS8,Location: Feature Service Selection Era Big Data.,"This paper draws two independent strands literature — Baudrillard's orders-of-simulacra theoretic financial accounting theory — investigate ontological status information accounting reports draws Baudrillard's concepts simulacra, hyperreality implosion trace historical transformations accounting signs income capital Sumerian times present posits accounting today longer refers objective reality instead circulates “hyperreality” self-referential models paper examines conclusion viewpoint recent clean surplus model research argues distinction income capital arbitrary irrelevant provided measurement process satisfies clean surplus relation Although accounting arbitrary hyperreal, impart sense exogeniety predictability, particularly income calculation Therefore, relied decisi."
10,ICWS9,An Integrated Development Environment Web Service Composition.,"The development new services integration existing ones gained considerable momentum means create streamline business-to-business collaborations Unfortunately, Web services often autonomous heterogeneous entities, connecting coordinating order build integrated services delicate time-consuming task paper, describe design implementation system existing Web services declaratively composed, resulting composite services executed following peer-to-peer paradigm, within dynamic environment system provides tools specifying composite services statecharts, data conversion rules, provider selection policies specifications translated XML documents interpreted peer-to-peer inter-connected software components, order provision composite service without requiring central authority."
11,ICWS0,Task Delegation Active Web Intermediary Network.,"In paper, formalize concept delegation network web intermediaries present formal semantics responsibility actors Key properties network proven method judge actor's responsibility given work important determines accuracy task execution feasibility content reuse network."
12,ICWS1,Privacy Policy Compliance Web Services.,"This article addresses security Semantic Web Services declaratively described OWL-S authors propose ontologies annotate OWL-S input output parameters respect security characteristics, including encryption digital signatures incorporate privacy authentication policies OWL-S descriptions requester profiles authors designed implemented algorithms check policy compliance integrated OWL-S Matchmakerýs service selection process also discuss extending OWL-S VM features encrypting signing messages exchanged service requester provider."
