1,ICWS0,Complex Event Processing.,"A large number of distributed applications requires continuous and timely processing of information as it flows from the periphery to the center of the system Examples include intrusion detection systems which analyze network traffic in real-time to identify possible attacks; environmental monitoring applications which process raw data coming from sensor networks to identify critical situations; or applications performing online analysis of stock prices to identify trends and forecast future values Traditional DBMSs, which need to store and index data before processing it, can hardly fulfill the requirements of timeliness coming from such domains Accordingly, during the last decade, different research communities developed a number of tools, which we collectively call Information flow processing (IFP) systems, to support these scenarios They differ in their system architecture, data model, rule model, and rule language In this article, we survey these systems to help researchers, who ."
2,ICWS1,Exploiting Heterogeneous Information for Tag Recommendation in API Management.,"As web-enabled software becomes the standard for business processes, the ways organizations, partners and customers interface with it have become a critical differentiator in the market place, ie, API Economy With the rapid proliferation of APIs, it is increasingly important for users to effectively manage objective APIs in kinds of API markets, eg, ProgramableWeb (PW), Mashape, etc In this paper, to facilitate the process of API management, we propose a graph-based recommendation approach called ATRec to automatically assign tags to unlabeled APIs by exploiting both graph structure information and semantic similarity Specifically, ATRec first leverages the multi-type relations (ie, among APIs, mashups, and mashup assigned tags) to construct a heterogeneous network, in which a Random Walk with Restart (RWR) model is applied to alleviate the total cold start problem where no API has ever been tagged Furthermore, we apply the recommended API tags in two API management scenarios (API sea."
3,ICWS2,Towards Intelligent Services: A Case Study in Chemical Emergency Response.,"Emerging from a small, wartime government program with a regional focus on malaria in 1946, the Centers for Disease Control and Prevention (CDC) has become a global public health agency that addresses the entire scope of public health, with over 10 000 employees and contractors in nearly 200 occupations The CDC's expertise has expanded in direct correlation with the expanding view of public health needs: it is recognized globally for its ability to respond to urgent threat related to disease epidemics and the health consequences of disaster and war CDC programs have contributed significantly to the eradication and reduction of diseases such as smallpox, polio, and guinea worm, as well as the control of health problems such as human immunodeficiency virus (HIV), childhood lead poisoning, breast and cervical cancer, diabetes, violence, and unintentional injuries CDC contributions in applied epidemiology, public health surveillance, risk factor reduction, and environmental risk assessmen."
4,ICWS3,Improved Adaptation of Web Service Compositions Using Value of Changed Information.,"Results The Cronbach's alpha for the four dimensions used in developing CI was 843 Validation of CI revealed that it was correlated to internal dimensions ( system quality , R = 828; information quality , R = 909; use , R = 969; and user satisfaction , R = 679) and to external factors (JAHIS level, R = 832 and patient safety culture, R = 585) These results suggest that CI could be a reliable and valid measure of the effectiveness of EMR systems in the responding hospitals On benchmarking of hospitals, 300% (6/20) of the responding hospitals performed less than satisfactory on CI and that majority of the hospitals performed poorly on user satisfaction  Conclusions CI has provided a standard way, through quantitative means, of measuring, comparing and categorizing the effectiveness of EMR systems in hospitals CI can be a powerful tool for benchmarking the effectiveness of EMR systems in hospitals in ways that can guide hospitals in computerization process as well as benchmark their syst."
5,ICWS4,Decentralized Orchestration of CompositeWeb Services.,"Traditional, centralized orchestration of composite web services often leads to inefficient routing of messages To solve this problem, we present a novel scheme to execute composite web services in a fully decentralized way We introduce service invocation triggers, a lightweight infrastructure that routes messages directly from the producing service to the consuming one, enabling fully decentralized orchestration An evaluation confirms that decentralized orchestration can significantly reduce the network traffic when compared with centralized orchestration."
6,ICWS5,Control Flow Analysis and Coverage Driven Testing for Web Services.,"In this paper, we describe an approach to discover the control flow graph of web services for web services analysis, verification, and testing For this purpose, three novel methods are proposed First, we introduce a domain independent RDF Schemas for concise resource oriented functional specification of web services operations Secondly, we describe the use of RDF entailment to accurately derive the control flow from the functional specifications We developed a transformation from RDF graph to SPARQL query to facilitate the RDF entailment which offers flexibility and extensibility over the direct graph matching approach The third is a linkage based web services modeling and analysis framework, within which we apply an improved Google PageRank algorithm to efficiently calculate test coverage potential using the derived control flow We justify that the proposed linkage based web services modeling and analysis framework is particularly suitable for testing web services A prototype of the ."
7,ICWS6,Optimal Adaptation in Web Processes with Coordination Constraints.,"Methods EEGs were recorded at high spatial resolution from a 1×1 cm 8×8 electrode array on the right inferior temporal gyrus of a patient undergoing preoperative monitoring for epilepsy surgery Cosines were fitted to EEG segments to measure frequency and phase and compute location, size, latency, phase velocity, duration, and recurrence rate of radially symmetric spatial patterns called phase cones The Hilbert transform was also used to get high temporal resolution Results In the awake state, the power spectral density (PSD) showed power-law decrease in log power with log frequency at 1/ f α , α ∼2, but with peaks in the standard empirical ranges The phase in beta and gamma ranges had spatial gradients in conic form Resetting of these stable spatial patterns of phase cones was spatially coincident at intermittent discontinuities (‘phase slip’) recurring at theta rates Cones had half power diameters from 2 to 50+ mm; their durations had power-law distributions with values ranging from ."
8,ICWS7,Enforcement from the Inside: Improving Quality of Business in Process Management.,"This paper draws on two independent strands of literature — Baudrillard's orders-of-simulacra theoretic and financial accounting theory — to investigate the ontological status of information in accounting reports It draws on Baudrillard's concepts of simulacra, hyperreality and implosion to trace the historical transformations of the accounting signs of income and capital from Sumerian times to the present It posits that accounting today no longer refers to any objective reality but instead circulates in a “hyperreality” of self-referential models The paper then examines this conclusion from the viewpoint of recent clean surplus model research and argues that the distinction between income and capital is arbitrary and irrelevant provided the measurement process satisfies the clean surplus relation Although accounting is arbitrary and hyperreal, it does impart a sense of exogeniety and predictability, particularly through the income calculation Therefore, it can be relied on for decisi."
9,ICWS8,Location: A Feature for Service Selection in the Era of Big Data.,"This paper draws on two independent strands of literature — Baudrillard's orders-of-simulacra theoretic and financial accounting theory — to investigate the ontological status of information in accounting reports It draws on Baudrillard's concepts of simulacra, hyperreality and implosion to trace the historical transformations of the accounting signs of income and capital from Sumerian times to the present It posits that accounting today no longer refers to any objective reality but instead circulates in a “hyperreality” of self-referential models The paper then examines this conclusion from the viewpoint of recent clean surplus model research and argues that the distinction between income and capital is arbitrary and irrelevant provided the measurement process satisfies the clean surplus relation Although accounting is arbitrary and hyperreal, it does impart a sense of exogeniety and predictability, particularly through the income calculation Therefore, it can be relied on for decisi."
10,ICWS9,An Integrated Development Environment for Web Service Composition.,"The development of new services through the integration of existing ones has gained a considerable momentum as a means to create and streamline business-to-business collaborations Unfortunately, as Web services are often autonomous and heterogeneous entities, connecting and coordinating them in order to build integrated services is a delicate and time-consuming task In this paper, we describe the design and implementation of a system through which existing Web services can be declaratively composed, and the resulting composite services can be executed following a peer-to-peer paradigm, within a dynamic environment This system provides tools for specifying composite services through statecharts, data conversion rules, and provider selection policies These specifications are then translated into XML documents that can be interpreted by peer-to-peer inter-connected software components, in order to provision the composite service without requiring a central authority."
